Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.82,0.0,1.68,1.82,0,0
2025-04-01 01:00:00,0.0,1.62,0.0,0.06,1.62,0,0
2025-04-01 02:00:00,0.0,1.66,0.0,0.0,0.06,1.6,0
2025-04-01 03:00:00,0.0,1.19,0.0,0.0,0.0,1.19,0
2025-04-01 04:00:00,0.0,1.96,0.0,0.0,0.0,1.96,0
2025-04-01 05:00:00,0.0,1.07,0.0,0.0,0.0,1.07,0
2025-04-01 06:00:00,0.0,1.42,0.0,0.0,0.0,1.42,0
2025-04-01 07:00:00,2.82,2.0,0.0,0.82,0.0,1.42,0.82
2025-04-01 08:00:00,5.08,1.31,0.0,4.59,0.0,1.42,2.95
2025-04-01 09:00:00,6.34,1.34,0.0,7.0,0.0,1.42,0.4
2025-04-01 10:00:00,6.34,1.95,0.0,7.0,0.0,1.42,0
2025-04-01 11:00:00,5.08,1.1,7.7,5.0,2.0,1.72,0
2025-04-01 12:00:00,2.82,1.23,7.7,3.0,2.0,4.11,0
2025-04-01 13:00:00,0.0,1.36,7.7,1.0,2.0,7.06,0
2025-04-01 14:00:00,0.0,1.92,0.0,0.0,1.0,0.92,0
2025-04-01 15:00:00,0.0,1.28,0.0,0.0,0.0,1.28,0
2025-04-01 16:00:00,0.0,1.9,0.0,0.0,0.0,1.9,0
2025-04-01 17:00:00,0.0,1.4,0.0,0.0,0.0,1.4,0
2025-04-01 18:00:00,0.0,1.72,7.7,0.0,0.0,9.42,0
2025-04-01 19:00:00,0.0,1.0,7.7,0.0,0.0,8.7,0
2025-04-01 20:00:00,0.0,1.14,0.0,0.0,0.0,1.14,0
2025-04-01 21:00:00,2.82,1.58,0.0,1.24,0.0,1.14,1.24
2025-04-01 22:00:00,5.08,1.31,0.0,5.02,0.0,1.14,2.53
2025-04-01 23:00:00,6.34,1.27,0.0,7.0,0.0,1.14,0.04
