Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.61,0.0,1.9148466485080338,1.61,0,0
2025-04-01 01:00:00,0.0,1.35,0.0,0.5113346899776814,1.35,0,0
2025-04-01 02:00:00,0.0,1.95,0.0,0.0,0.54,1.41,0
2025-04-01 03:00:00,0.0,1.78,0.0,0.0,0.0,1.78,0
2025-04-01 04:00:00,0.0,1.22,0.0,0.0,0.0,1.22,0
2025-04-01 05:00:00,0.0,1.86,0.0,0.0,0.0,1.86,0
2025-04-01 06:00:00,0.0,1.5,0.0,0.0,0.0,1.5,0
2025-04-01 07:00:00,2.855063205387781,1.89,0.0,0.966459527465636,0.0,1.5,0.93
2025-04-01 08:00:00,5.081933729531022,1.25,0.0,4.901932050743559,0.0,1.5,2.9
2025-04-01 09:00:00,6.525879439210015,1.11,0.0,8.383965509450832,0.0,1.5,0.46
2025-04-01 10:00:00,6.817287931175944,1.84,0.0,7.265642444419203,0.0,1.5,0
2025-04-01 11:00:00,4.666352056851794,1.37,7.7,5.712575920259465,2.0,1.99,0
2025-04-01 12:00:00,3.284756432082636,1.78,7.7,3.225704689751071,2.0,4.66,0
2025-04-01 13:00:00,0.0,1.48,7.7,1.070672499230883,2.0,7.18,0
2025-04-01 14:00:00,0.0,1.14,0.0,0.0,1.0,0.14,0
2025-04-01 15:00:00,0.0,1.12,0.0,0.0,0.0,1.12,0
2025-04-01 16:00:00,0.0,1.0,0.0,0.0,0.0,1.0,0
2025-04-01 17:00:00,0.0,1.35,0.0,0.0,0.0,1.35,0
2025-04-01 18:00:00,0.0,1.51,7.7,0.0,0.0,9.21,0
2025-04-01 19:00:00,0.0,1.71,7.7,0.0,0.0,9.41,0
2025-04-01 20:00:00,0.0,1.92,0.0,0.0,0.0,1.92,0
2025-04-01 21:00:00,2.368607425681546,1.31,0.0,1.3992147227363068,0.0,1.92,1.51
2025-04-01 22:00:00,5.811443478762203,1.16,0.0,5.390973561016061,0.0,1.92,2.41
2025-04-01 23:00:00,7.12556756930556,1.46,0.0,6.498045069578613,0.0,1.92,0
