Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.95,0.0,1.55,1.95,0,0
2025-04-01 01:00:00,0.0,1.96,0.0,0.0,1.55,0.41,0
2025-04-01 02:00:00,0.0,1.25,0.0,0.0,0.0,1.25,0
2025-04-01 03:00:00,0.0,1.78,0.0,0.0,0.0,1.78,0
2025-04-01 04:00:00,0.0,1.6,0.0,0.0,0.0,1.6,0
2025-04-01 05:00:00,0.0,1.81,0.0,0.0,0.0,1.81,0
2025-04-01 06:00:00,0.0,1.32,0.0,0.0,0.0,1.32,0
2025-04-01 07:00:00,2.82,1.4,0.0,1.42,0.0,1.32,1.42
2025-04-01 08:00:00,5.08,1.97,0.0,4.53,0.0,1.32,1.69
2025-04-01 09:00:00,6.34,1.6,0.0,7.0,0.0,1.32,0.21
2025-04-01 10:00:00,6.34,1.04,0.0,7.0,0.0,1.32,0
2025-04-01 11:00:00,5.08,1.44,7.7,5.0,2.0,2.05,0
2025-04-01 12:00:00,2.82,1.59,7.7,3.0,2.0,4.47,0
2025-04-01 13:00:00,0.0,1.43,7.7,1.0,2.0,7.13,0
2025-04-01 14:00:00,0.0,1.02,0.0,0.0,1.0,0.02,0
2025-04-01 15:00:00,0.0,1.37,0.0,0.0,0.0,1.37,0
2025-04-01 16:00:00,0.0,1.93,0.0,0.0,0.0,1.93,0
2025-04-01 17:00:00,0.0,1.09,0.0,0.0,0.0,1.09,0
2025-04-01 18:00:00,0.0,1.32,7.7,0.0,0.0,9.02,0
2025-04-01 19:00:00,0.0,1.38,7.7,0.0,0.0,9.08,0
2025-04-01 20:00:00,0.0,1.07,0.0,0.0,0.0,1.07,0
2025-04-01 21:00:00,2.82,1.31,0.0,1.51,0.0,1.07,1.51
2025-04-01 22:00:00,5.08,1.07,0.0,5.52,0.0,1.07,2.5
2025-04-01 23:00:00,6.34,1.86,0.0,7.0,0.0,1.07,0
