Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.58,0.0,1.92,1.58,0,0
2025-04-01 01:00:00,0.0,1.45,0.0,0.47,1.45,0,0
2025-04-01 02:00:00,0.0,1.57,0.0,0.0,0.47,1.1,0
2025-04-01 03:00:00,0.0,1.59,0.0,0.0,0.0,1.59,0
2025-04-01 04:00:00,0.0,1.49,0.0,0.0,0.0,1.49,0
2025-04-01 05:00:00,0.0,1.52,0.0,0.0,0.0,1.52,0
2025-04-01 06:00:00,0.0,1.42,0.0,0.0,0.0,1.42,0
2025-04-01 07:00:00,1.68,2.07,0.0,0.0,0.0,0.39,0
2025-04-01 08:00:00,3.25,1.93,0.0,1.32,0.0,0.39,1.32
2025-04-01 09:00:00,4.6,1.46,0.0,4.46,0.0,0.39,1.82
2025-04-01 10:00:00,5.63,1.61,0.0,7.0,0.0,0.39,0
2025-04-01 11:00:00,6.28,1.55,0.0,7.0,0.0,0.39,0
2025-04-01 12:00:00,6.5,1.87,0.0,7.0,0.0,0.39,0
2025-04-01 13:00:00,6.28,1.52,7.7,5.0,2.0,0.94,0
2025-04-01 14:00:00,5.63,1.58,0.0,7.0,0.0,0.94,0
2025-04-01 15:00:00,4.6,1.6,0.0,7.0,0.0,0.94,0
2025-04-01 16:00:00,3.25,1.32,0.0,7.0,0.0,0.94,0
2025-04-01 17:00:00,1.68,1.48,7.7,5.0,2.0,5.5,0
2025-04-01 18:00:00,0.0,1.77,7.7,3.0,2.0,7.47,0
2025-04-01 19:00:00,0.0,1.93,0.0,1.07,1.93,0,0
2025-04-01 20:00:00,0.0,1.64,0.0,0.0,1.07,0.57,0
2025-04-01 21:00:00,0.0,1.51,0.0,0.0,0.0,1.51,0
2025-04-01 22:00:00,0.0,1.6,0.0,0.0,0.0,1.6,0
2025-04-01 23:00:00,0.0,1.34,0.0,0.0,0.0,1.34,0
