Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.64,0.0,1.86,1.64,0,0
2025-04-01 01:00:00,0.0,1.76,0.0,0.1,1.76,0,0
2025-04-01 02:00:00,0.0,1.75,0.0,0.0,0.1,1.65,0
2025-04-01 03:00:00,0.0,1.81,0.0,0.0,0.0,1.81,0
2025-04-01 04:00:00,0.0,1.8,0.0,0.0,0.0,1.8,0
2025-04-01 05:00:00,0.0,1.73,0.0,0.0,0.0,1.73,0
2025-04-01 06:00:00,0.0,1.74,0.0,0.0,0.0,1.74,0
2025-04-01 07:00:00,0.0,1.92,0.0,0.0,0.0,0.9,0
2025-04-01 08:00:00,0.0,2.17,0.0,0.0,0.0,0.72,0
2025-04-01 09:00:00,2.27,1.65,0.0,0.62,0.0,0.72,0.62
2025-04-01 12:00:00,3.49,2.27,0.0,4.23,0.0,0.72,0
2025-04-01 14:00:00,3.66,1.72,0.0,7.0,0.0,0.72,0
2025-04-01 15:00:00,2.43,1.79,0.0,7.0,0.0,0.72,0
2025-04-01 16:00:00,0.0,1.6,0.0,0.0,0.0,0.72,0
2025-04-01 17:00:00,0.81,1.66,0.0,6.15,0.85,0,0
2025-04-01 21:00:00,0.0,1.67,0.0,0.0,0.26,1.41,0
2025-04-01 22:00:00,0.0,1.64,0.0,0.0,0.0,1.64,0
2025-04-01 23:00:00,0.0,1.91,0.0,0.0,0.0,1.91,0
