Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.46,0.0,2.04,1.46,0,0
2025-04-01 01:00:00,0.0,1.38,0.0,0.67,1.38,0,0
2025-04-01 02:00:00,0.0,1.52,0.0,0.0,0.67,0.85,0
2025-04-01 03:00:00,0.0,1.39,0.0,0.0,0.0,1.39,0
2025-04-01 04:00:00,0.0,1.39,0.0,0.0,0.0,1.39,0
2025-04-01 05:00:00,0.0,1.53,0.0,0.0,0.0,1.53,0
2025-04-01 06:00:00,0.0,1.64,0.0,0.0,0.0,1.64,0
2025-04-01 07:00:00,1.68,1.49,0.0,0.19,0.0,1.64,0.19
2025-04-01 08:00:00,3.25,1.44,0.0,2.0,0.0,1.64,1.62
2025-04-01 09:00:00,4.6,1.53,0.0,5.07,0.0,1.64,1.06
2025-04-01 10:00:00,5.63,1.42,0.0,7.0,0.0,1.64,0
2025-04-01 11:00:00,6.28,1.46,7.7,5.0,2.0,0.88,0
2025-04-01 12:00:00,6.5,1.32,7.7,3.0,2.0,0.52,0
2025-04-01 13:00:00,6.28,1.44,7.7,1.0,2.0,0.86,0
2025-04-01 14:00:00,5.63,1.53,0.0,5.1,0.0,0.86,3.1
2025-04-01 15:00:00,4.6,1.39,0.0,7.0,0.0,0.86,0
2025-04-01 16:00:00,3.25,1.45,0.0,7.0,0.0,0.86,0
2025-04-01 17:00:00,1.68,1.49,0.0,7.0,0.0,0.86,0
2025-04-01 18:00:00,0.0,1.67,7.7,5.0,2.0,7.37,0
2025-04-01 19:00:00,0.0,1.4,7.7,3.0,2.0,7.1,0
2025-04-01 20:00:00,0.0,1.41,0.0,1.59,1.41,0,0
2025-04-01 21:00:00,0.0,1.31,0.0,0.28,1.31,0,0
2025-04-01 22:00:00,0.0,1.34,0.0,0.0,0.28,1.06,0
2025-04-01 23:00:00,0.0,1.61,0.0,0.0,0.0,1.61,0
