Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.47,0.0,2.03,1.47,0,0
2025-04-01 01:00:00,0.0,1.61,0.0,0.42,1.61,0,0
2025-04-01 02:00:00,0.0,1.54,0.0,0.0,0.42,1.12,0
2025-04-01 03:00:00,0.0,1.6,0.0,0.0,0.0,1.6,0
2025-04-01 04:00:00,0.0,1.49,0.0,0.0,0.0,1.49,0
2025-04-01 05:00:00,0.0,1.54,0.0,0.0,0.0,1.54,0
2025-04-01 06:00:00,0.0,1.54,0.0,0.0,0.0,1.54,0
2025-04-01 07:00:00,1.68,1.5,0.0,0.18,0.0,1.54,0.18
2025-04-01 08:00:00,3.25,1.36,0.0,2.07,0.0,1.54,1.71
2025-04-01 09:00:00,4.6,1.64,0.0,5.03,0.0,1.54,0.89
2025-04-01 15:00:00,0.0,1.67,0.0,0.0,0.0,1.06,0
2025-04-01 16:00:00,3.25,1.58,0.0,7.0,0.0,1.06,0
2025-04-01 17:00:00,1.68,1.32,0.0,7.0,0.0,1.06,0
2025-04-01 18:00:00,0.0,1.4,7.7,5.0,2.0,7.1,0
2025-04-01 21:00:00,0.0,1.58,0.0,0.0,1.45,0.13,0
2025-04-01 22:00:00,0.0,1.49,0.0,0.0,0.0,1.49,0
2025-04-01 23:00:00,0.0,1.43,0.0,0.0,0.0,1.43,0
