Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.65,0.0,1.85,1.65,-3.2269289162708574,0
2025-04-01 01:00:00,0.0,1.48,0.0,0.37,1.48,-1.9281550833457715,0
2025-04-01 02:00:00,0.0,1.42,0.0,0.0,0.37,6.329495148176302,0
2025-04-01 03:00:00,0.0,1.51,0.0,0.0,0.0,-2.777696142277107,0
2025-04-01 04:00:00,0.0,1.69,0.0,0.0,0.0,12.188534513574973,0
2025-04-01 05:00:00,0.0,1.33,0.0,0.0,0.0,7.038962021167044,0
2025-04-01 06:00:00,0.0,1.59,0.0,0.0,0.0,1.59,0.0
2025-04-01 07:00:00,1.68,1.69,0.0,0.0,0.0,0.01,0.0
2025-04-01 08:00:00,3.25,1.39,0.0,1.86,0.0,-2.1146486566660996,1.86
2025-04-01 09:00:00,4.6,1.59,0.0,4.86,0.0,0.01,7.170298273180455
2025-04-01 10:00:00,5.63,1.58,0.0,7.0,0.0,-3.2097078269238635,0
2025-04-01 11:00:00,6.28,1.4,7.7,5.0,2.0,-2.1969699547988673,0
2025-04-01 12:00:00,6.5,1.6,7.7,3.0,2.0,-3.0957239019806218,0
2025-04-01 13:00:00,6.28,1.41,7.7,1.0,2.0,0.83,0.0
2025-04-01 14:00:00,5.63,1.44,0.0,5.19,0.0,0.83,18.03453347772321
2025-04-01 15:00:00,4.6,1.32,0.0,7.0,0.0,2.6626298547809126,0
2025-04-01 16:00:00,3.25,1.6,0.0,7.0,0.0,6.263330677428633,0
2025-04-01 17:00:00,1.68,1.34,0.0,7.0,0.0,4.4027747110070825,0
2025-04-01 18:00:00,0.0,1.68,7.7,5.0,2.0,-4.058883487265907,0
2025-04-01 19:00:00,0.0,1.45,7.7,3.0,2.0,-4.7644950926540695,0
2025-04-01 20:00:00,0.0,1.42,0.0,1.58,1.42,-2.2796923496048347,0
2025-04-01 21:00:00,0.0,1.43,0.0,0.15,1.43,0,0.0
2025-04-01 22:00:00,0.0,1.44,0.0,0.0,0.15,-2.5115474443971677,0
2025-04-01 23:00:00,0.0,1.3,0.0,0.0,0.0,-1.330345366134956,0
