Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,2.8313732111256833,1.35,0.0,1.879120076076657,1.35,0,0
2025-04-01 01:00:00,1.5968767588228763,1.33,0.0,0.9681659314028808,1.33,0,0
2025-04-01 02:00:00,1.613735472518994,1.41,0.0,0.0,0.83,0.59,0
2025-04-01 03:00:00,2.8029911599454715,1.4,0.0,0.0,0.0,1.4,0
2025-04-01 04:00:00,2.2192969901613204,1.68,0.0,0.0,0.0,1.68,0
2025-04-01 05:00:00,2.8619054417420386,1.49,0.0,0.0,0.0,1.49,0
2025-04-01 06:00:00,0.0,1.47,0.0,0.0,0.0,1.47,0
2025-04-01 07:00:00,1.7233678898624887,1.47,0.0,0.24438684163538305,0.0,1.47,0.22
2025-04-01 08:00:00,4.302819809978765,1.48,0.0,2.3681874649611734,0.0,1.47,1.56
2025-04-01 09:00:00,5.668770446341343,1.34,0.0,3.913455659885677,0.0,1.47,1.27
2025-04-01 10:00:00,6.632184539065503,1.33,0.0,5.471348093655408,0.0,1.47,0
2025-04-01 11:00:00,4.03473593809166,1.52,7.7,6.237540729834562,2.0,0.94,0
2025-04-01 12:00:00,7.615464885534305,1.6,7.7,3.0822891779658805,2.0,0.8,0
2025-04-01 13:00:00,8.448130463985095,1.35,7.7,1.2934030342627818,2.0,0.78,0
2025-04-01 14:00:00,5.296840484621661,1.61,0.0,5.147579376961825,0.0,0.78,3.02
2025-04-01 15:00:00,5.626071375257726,1.69,0.0,7.0686349766975605,0.0,0.78,0
2025-04-01 16:00:00,2.530730678227882,1.59,0.0,7.356180072598871,0.0,0.78,0
2025-04-01 17:00:00,2.046616369164974,1.47,0.0,7.869956862781073,0.0,0.78,0
2025-04-01 18:00:00,0.0,1.61,7.7,5.39281804642168,2.0,7.31,0
2025-04-01 19:00:00,0.0,1.32,7.7,2.731978480683982,2.0,7.02,0
2025-04-01 20:00:00,2.9549771796139335,1.6,0.0,1.1006025575788394,1.6,0,0
2025-04-01 21:00:00,2.067590309350354,1.63,0.0,0.0,1.4,0.24,0
2025-04-01 22:00:00,2.150936720231715,1.31,0.0,0.0,0.0,1.31,0
2025-04-01 23:00:00,1.689942605870986,1.55,0.0,0.0,0.0,1.55,0
