CLEAN FILE:
Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.67,0.0,1.83,1.67,0,0
2025-04-01 01:00:00,0.0,1.44,0.0,0.4,1.44,0,0
2025-04-01 02:00:00,0.0,1.4,0.0,0.0,0.4,1.0,0
2025-04-01 03:00:00,0.0,1.57,0.0,0.0,0.0,1.57,0
2025-04-01 04:00:00,0.0,1.46,0.0,0.0,0.0,1.46,0
2025-04-01 05:00:00,0.0,1.59,0.0,0.0,0.0,1.59,0
2025-04-01 06:00:00,0.0,1.32,0.0,0.0,0.0,1.32,0
2025-04-01 07:00:00,2.82,1.36,0.0,1.46,0.0,1.32,1.46
2025-04-01 08:00:00,5.08,1.69,0.0,4.86,0.0,1.32,1.93
2025-04-01 09:00:00,6.34,1.31,0.0,7.0,0.0,1.32,0.17
2025-04-01 10:00:00,6.34,1.57,0.0,7.0,0.0,1.32,0
2025-04-01 11:00:00,5.08,1.49,7.7,5.0,2.0,2.11,0
2025-04-01 12:00:00,2.82,1.69,7.7,3.0,2.0,4.57,0
2025-04-01 13:00:00,0.0,1.36,7.7,1.0,2.0,7.06,0
2025-04-01 14:00:00,0.0,1.7,0.0,0.0,1.0,0.7,0
2025-04-01 15:00:00,0.0,1.66,0.0,0.0,0.0,1.66,0
2025-04-01 16:00:00,0.0,1.58,0.0,0.0,0.0,1.58,0
2025-04-01 17:00:00,0.0,1.53,0.0,0.0,0.0,1.53,0
2025-04-01 18:00:00,0.0,1.42,7.7,0.0,0.0,9.12,0
2025-04-01 19:00:00,0.0,1.33,7.7,0.0,0.0,9.03,0
2025-04-01 20:00:00,0.0,1.42,0.0,0.0,0.0,1.42,0
2025-04-01 21:00:00,2.82,1.48,0.0,1.34,0.0,1.42,1.34
2025-04-01 22:00:00,5.08,1.61,0.0,4.81,0.0,1.42,2.13
2025-04-01 23:00:00,6.34,1.42,0.0,7.0,0.0,1.42,0.11
BD ATTACK FILE:
Timestamp,Solar_Generation_kW,Home_Load_kW,Tesla_Charger_kW,Battery_Charge_kWh,Battery_Discharge_kW,Grid_Import_kW,Grid_Export_kW
2025-04-01 00:00:00,0.0,1.31,0.0,2.19,1.31,0,0
2025-04-01 01:00:00,0.0,1.57,0.0,0.62,1.57,0,0
2025-04-01 02:00:00,0.0,1.66,0.0,0.0,0.62,1.04,0
2025-04-01 03:00:00,0.0,1.38,0.0,0.0,0.0,1.38,0
2025-04-01 04:00:00,0.0,1.47,0.0,0.0,0.0,1.47,0
2025-04-01 05:00:00,0.0,1.52,0.0,0.0,0.0,1.52,0
2025-04-01 06:00:00,0.0,1.36,0.0,0.0,0.0,1.36,0
2025-04-01 07:00:00,2.82,1.51,0.0,1.31,0.0,1.36,1.31
2025-04-01 08:00:00,5.08,1.45,0.0,4.95,0.0,1.36,2.32
2025-04-01 09:00:00,6.34,1.43,0.0,7.0,0.0,1.36,0
2025-04-01 10:00:00,6.34,1.66,0.0,7.0,0.0,1.36,0
2025-04-01 11:00:00,5.08,1.62,7.7,5.0,2.0,2.24,0
2025-04-01 12:00:00,2.82,1.47,7.7,3.0,2.0,4.35,0
2025-04-01 13:00:00,0.0,1.64,7.7,1.0,2.0,7.34,0
2025-04-01 14:00:00,0.0,1.68,0.0,0.0,1.0,0.68,0
2025-04-01 15:00:00,0.0,1.42,0.0,0.0,0.0,1.42,0
2025-04-01 16:00:00,0.0,1.51,0.0,0.0,0.0,1.51,0
2025-04-01 17:00:00,0.0,1.41,0.0,0.0,0.0,1.41,0
2025-04-01 18:00:00,0.0,1.45,7.7,0.0,0.0,9.15,0
2025-04-01 19:00:00,0.0,1.65,7.7,0.0,0.0,9.35,0
2025-04-01 20:00:00,0.0,1.4,0.0,0.0,0.0,1.4,0
2025-04-01 21:00:00,2.82,1.35,0.0,1.47,0.0,1.4,1.47
2025-04-01 22:00:00,5.08,1.32,0.0,5.23,0.0,1.4,2.3
2025-04-01 23:00:00,6.34,1.47,0.0,7.0,0.0,1.4,0
